epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10534.5,0.43996,0.32749,0.84734,0.9607,0.97307,0.98841,0.90887,0.46745,0.31907,0.85275,0.000848969,0.000848969,0.000848969
43,10725.6,0.43544,0.3302,0.84461,0.96778,0.978,0.99094,0.87485,0.46375,0.30873,0.84392,0.000834822,0.000834822,0.000834822
44,10921.1,0.42169,0.31893,0.84506,0.98394,0.98471,0.99142,0.87316,0.46192,0.30067,0.86008,0.000820675,0.000820675,0.000820675
45,11112.5,0.43547,0.32353,0.85049,0.98614,0.98222,0.99052,0.90961,0.45981,0.31257,0.84925,0.000806528,0.000806528,0.000806528
46,11311.9,0.42073,0.31833,0.85014,0.97939,0.98341,0.99114,0.89156,0.462,0.30109,0.8497,0.00079238,0.00079238,0.00079238
47,11517.2,0.41697,0.30596,0.8458,0.98773,0.98151,0.99158,0.89811,0.45161,0.29564,0.8542,0.000778233,0.000778233,0.000778233
48,11721,0.40977,0.30019,0.83996,0.9851,0.97479,0.99222,0.87872,0.47304,0.3031,0.86169,0.000764086,0.000764086,0.000764086
49,12017.5,0.43226,0.31272,0.84839,0.98939,0.97332,0.98996,0.87943,0.44787,0.29774,0.84943,0.000749939,0.000749939,0.000749939
50,12204.4,0.42359,0.3038,0.8465,0.97541,0.96812,0.98934,0.91001,0.45873,0.29157,0.84845,0.000735792,0.000735792,0.000735792
51,12404.5,0.41563,0.30697,0.83648,0.97569,0.97065,0.99064,0.92206,0.48162,0.31243,0.86789,0.000721645,0.000721645,0.000721645
52,12596.6,0.39812,0.28922,0.83136,0.98472,0.96955,0.99076,0.91043,0.47274,0.29101,0.86447,0.000707498,0.000707498,0.000707498
53,12787,0.4101,0.29786,0.84237,0.99,0.97405,0.99088,0.89484,0.4522,0.27652,0.85191,0.000693351,0.000693351,0.000693351
54,12977.6,0.39974,0.29639,0.83884,0.98872,0.98057,0.99206,0.90204,0.43899,0.27949,0.84575,0.000679204,0.000679204,0.000679204
55,13208.9,0.40475,0.29829,0.84087,0.98965,0.97723,0.99166,0.91638,0.44029,0.28652,0.84514,0.000665057,0.000665057,0.000665057
56,13485.8,0.4051,0.29542,0.83943,0.98033,0.97177,0.99224,0.91774,0.46346,0.29459,0.84659,0.000650909,0.000650909,0.000650909
57,13678.1,0.40275,0.2916,0.83745,0.98464,0.97432,0.9907,0.92326,0.45428,0.28122,0.84295,0.000636762,0.000636762,0.000636762
58,13871.4,0.40341,0.2922,0.8361,0.9867,0.98667,0.99072,0.90692,0.44621,0.28052,0.84754,0.000622615,0.000622615,0.000622615
59,14063.9,0.40249,0.29206,0.83912,0.9802,0.98459,0.9905,0.91071,0.43503,0.27233,0.84554,0.000608468,0.000608468,0.000608468
60,14254.6,0.39702,0.28466,0.83783,0.98316,0.98361,0.9898,0.92774,0.4684,0.28104,0.86967,0.000594321,0.000594321,0.000594321
